Price,Close,High,Low,Open,Volume
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F
Date,,,,,
2026-01-02,4314.39990234375,4350.60009765625,4314.39990234375,4350.60009765625,589
2026-01-05,4436.89990234375,4443.5,4384.7998046875,4386.7001953125,618
2026-01-06,4482.2001953125,4482.2001953125,4449.0,4449.7001953125,459
2026-01-07,4449.2998046875,4450.0,4449.2998046875,4450.0,972
2026-01-08,4449.7001953125,4461.2998046875,4418.0,4460.2001953125,2423
2026-01-09,4490.2998046875,4490.2998046875,4473.0,4473.0,237
2026-01-12,4604.2998046875,4620.0,4577.7998046875,4579.10009765625,156
2026-01-13,4589.2001953125,4617.10009765625,4578.60009765625,4578.60009765625,239
2026-01-14,4626.2998046875,4635.0,4608.2001953125,4610.2998046875,1313
2026-01-15,4616.2998046875,4616.2998046875,4612.89990234375,4612.89990234375,4358
2026-01-16,4588.39990234375,4608.0,4588.39990234375,4608.0,352
2026-01-20,4759.60009765625,4764.0,4661.7998046875,4662.2001953125,175
2026-01-21,4831.7998046875,4872.2998046875,4771.5,4863.5,1706
2026-01-22,4908.7998046875,4908.7998046875,4791.89990234375,4791.89990234375,1175
2026-01-23,4976.2001953125,4976.2001953125,4936.0,4949.60009765625,169
2026-01-26,5079.7001953125,5095.60009765625,5052.2001953125,5081.5,180
2026-01-27,5079.89990234375,5079.89990234375,5079.89990234375,5079.89990234375,34
2026-01-28,5301.60009765625,5301.60009765625,5301.60009765625,5301.60009765625,112054
2026-01-29,5318.39990234375,5586.2001953125,5097.5,5415.7001953125,23709
2026-01-30,4713.89990234375,5440.5,4700.0,5376.39990234375,8374
2026-02-02,4622.5,4855.7998046875,4400.0,4807.7001953125,3588
2026-02-03,4903.7001953125,4984.60009765625,4674.2998046875,4680.0,1213
2026-02-04,4920.39990234375,5082.2001953125,4897.89990234375,4923.2998046875,3886
2026-02-05,4861.39990234375,5012.2998046875,4786.0,5008.7001953125,793
2026-02-06,4951.2001953125,4958.5,4655.0,4762.0,1386
2026-02-09,5050.89990234375,5065.7001953125,4979.10009765625,5017.39990234375,170
2026-02-10,5003.7998046875,5029.0,5002.7001953125,5013.5,281
2026-02-11,5071.60009765625,5111.2998046875,5041.2998046875,5049.89990234375,2681
2026-02-12,4923.7001953125,5078.10009765625,4892.0,5060.39990234375,484
2026-02-13,5022.0,5043.89990234375,4946.2001953125,4953.0,232
2026-02-17,4882.89990234375,5020.0,4847.7998046875,5020.0,540
2026-02-18,4986.5,4987.0,4869.5,4872.2001953125,544
2026-02-19,4975.89990234375,5014.7001953125,4975.89990234375,5014.7001953125,37
2026-02-20,5059.2998046875,5072.7001953125,5039.5,5039.5,134
2026-02-23,5204.7001953125,5211.60009765625,5120.2998046875,5120.2998046875,779
2026-02-24,5155.7998046875,5159.0,5112.7001953125,5158.7998046875,88
2026-02-25,5206.39990234375,5206.39990234375,5166.0,5166.0,1772
2026-02-26,5176.5,5199.2001953125,5143.89990234375,5177.2001953125,1520
2026-02-27,5230.5,5280.0,5176.7001953125,5186.7001953125,354
2026-03-02,5294.39990234375,5405.0,5266.2998046875,5346.60009765625,72
2026-03-03,5107.39990234375,5303.7998046875,5023.0,5298.7001953125,1776
2026-03-04,5120.2001953125,5180.2001953125,5117.2001953125,5130.7001953125,679
2026-03-05,5065.2998046875,5169.5,5054.7001953125,5169.5,1701
2026-03-06,5146.10009765625,5146.10009765625,5076.10009765625,5121.0,148
2026-03-09,5091.5,5160.60009765625,5077.7001953125,5155.0,639
2026-03-10,5229.7001953125,5229.7001953125,5137.60009765625,5138.2001953125,4300
2026-03-11,5167.39990234375,5191.2998046875,5167.39990234375,5190.7998046875,633
2026-03-12,5115.7998046875,5137.2001953125,5115.7998046875,5137.2001953125,410
2026-03-13,5052.5,5117.0,5009.5,5089.60009765625,479
2026-03-16,4994.0,5010.60009765625,4994.0,5001.60009765625,130
2026-03-17,5001.0,5017.60009765625,4994.2001953125,5017.60009765625,239
2026-03-18,4889.89990234375,4949.60009765625,4821.7001953125,4949.60009765625,1461
2026-03-19,4600.7001953125,4830.2998046875,4554.0,4830.2998046875,627
2026-03-20,4570.39990234375,4686.89990234375,4570.39990234375,4686.89990234375,235
2026-03-23,4404.10009765625,4480.39990234375,4100.7998046875,4353.0,544
2026-03-24,4399.2998046875,4399.2998046875,4325.2001953125,4338.7001953125,378
2026-03-25,4549.7998046875,4551.89990234375,4541.7998046875,4549.0,388
2026-03-26,4375.5,4443.10009765625,4375.5,4441.5,1070
2026-03-27,4492.0,4492.0,4492.0,4492.0,74348
2026-03-30,4526.0,4579.10009765625,4413.39990234375,4482.7998046875,10816
2026-03-31,4647.60009765625,4684.10009765625,4508.60009765625,4510.0,4264
2026-04-01,4783.2001953125,4789.10009765625,4668.0,4668.39990234375,1637
2026-04-02,4651.5,4784.39990234375,4558.89990234375,4764.89990234375,0
2026-04-06,4656.7998046875,4689.60009765625,4605.0,4656.10009765625,148
2026-04-07,4657.10009765625,4676.2998046875,4608.0,4624.89990234375,327
2026-04-08,4749.5,4851.0,4738.7998046875,4760.0,405
2026-04-09,4792.2001953125,4799.10009765625,4711.0,4711.0,1277
2026-04-10,4761.89990234375,4791.0,4744.89990234375,4745.89990234375,812
2026-04-13,4742.39990234375,4742.39990234375,4704.0,4704.0,32
2026-04-14,4825.0,4841.60009765625,4770.10009765625,4770.10009765625,288
2026-04-15,4800.0,4843.60009765625,4798.0,4843.60009765625,182
2026-04-16,4785.39990234375,4810.89990234375,4785.39990234375,4810.89990234375,805
2026-04-17,4857.60009765625,4879.7001953125,4767.2001953125,4771.60009765625,1902
2026-04-20,4806.60009765625,4811.0,4770.0,4793.89990234375,724
2026-04-21,4698.39990234375,4705.0,4676.39990234375,4698.39990234375,1197
2026-04-22,4732.5,4754.2001953125,4732.5,4754.2001953125,765
2026-04-23,4705.10009765625,4732.39990234375,4705.10009765625,4711.5,292
2026-04-24,4722.2998046875,4722.2998046875,4657.5,4695.0,45
2026-04-27,4675.39990234375,4711.10009765625,4675.39990234375,4707.60009765625,538
2026-04-28,4591.5,4680.89990234375,4591.5,4680.89990234375,2660
2026-04-29,4545.2001953125,4601.60009765625,4515.7001953125,4598.60009765625,507
2026-04-30,4614.7001953125,4636.7001953125,4561.89990234375,4561.89990234375,77
2026-05-01,4629.89990234375,4636.7001953125,4581.7001953125,4636.7001953125,113
2026-05-04,4519.5,4581.2001953125,4512.7001953125,4581.2001953125,20
2026-05-05,4555.7998046875,4580.5,4547.60009765625,4547.60009765625,426
2026-05-06,4681.89990234375,4712.60009765625,4663.60009765625,4663.60009765625,212
2026-05-07,4699.7998046875,4736.2001953125,4699.7998046875,4704.7998046875,254
2026-05-08,4720.39990234375,4724.7998046875,4713.60009765625,4714.39990234375,120
2026-05-11,4718.7001953125,4729.5,4718.7001953125,4729.5,36
2026-05-12,4677.60009765625,4765.2001953125,4677.60009765625,4762.2001953125,93
2026-05-13,4697.7001953125,4722.7001953125,4679.5,4722.7001953125,228
2026-05-14,4678.10009765625,4678.10009765625,4650.2998046875,4678.10009765625,5
2026-05-15,4555.7998046875,4615.2001953125,4524.2998046875,4615.2001953125,607
2026-05-18,4552.5,4570.2998046875,4538.7001953125,4563.0,38
2026-05-19,4506.2998046875,4552.60009765625,4506.2001953125,4551.7001953125,875
2026-05-20,4531.2998046875,4531.2998046875,4465.10009765625,4502.60009765625,981
2026-05-21,4539.7998046875,4539.7998046875,4503.7998046875,4507.2001953125,426
2026-05-22,4521.0,4530.2998046875,4519.10009765625,4519.5,40
2026-05-26,4500.39990234375,4572.7998046875,4500.39990234375,4572.7998046875,1261
2026-05-27,4447.5,4447.5,4439.7001953125,4439.7001953125,81062
2026-05-28,4499.2998046875,4512.60009765625,4363.5,4453.60009765625,16427
2026-05-29,4560.5,4591.7998046875,4487.89990234375,4494.0,1883
2026-06-01,4475.2001953125,4541.39990234375,4449.7001953125,4523.5,835
2026-06-02,4489.10009765625,4529.5,4474.2001953125,4488.0,456
2026-06-03,4436.7001953125,4471.7001953125,4427.2001953125,4471.2001953125,2913
2026-06-04,4475.7998046875,4509.89990234375,4447.39990234375,4447.39990234375,480
2026-06-05,4337.10009765625,4472.2998046875,4319.10009765625,4472.2998046875,4062
2026-06-08,4335.89990234375,4340.89990234375,4284.60009765625,4324.2001953125,357
2026-06-09,4260.0,4344.5,4240.2001953125,4332.7998046875,1292
2026-06-10,4108.2001953125,4206.7001953125,4100.0,4200.0,525
2026-06-11,4090.300048828125,4209.7998046875,4031.0,4042.89990234375,1938
2026-06-12,4215.0,4225.2998046875,4173.2001953125,4208.2998046875,1167
2026-06-15,4328.0,4362.0,4269.10009765625,4271.2001953125,1666
2026-06-16,4330.89990234375,4345.7998046875,4309.5,4309.5,158
2026-06-17,4358.89990234375,4377.0,4296.0,4339.0,1961
2026-06-18,4224.10009765625,4323.2001953125,4223.7001953125,4279.7998046875,738
2026-06-22,4181.89990234375,4216.39990234375,4134.7998046875,4138.7998046875,1197
2026-06-23,4129.89990234375,4135.2001953125,4118.5,4127.10009765625,252
2026-06-24,3990.300048828125,4104.7001953125,3963.300048828125,4104.39990234375,353
2026-06-25,4030.5,4030.5,3986.699951171875,3988.39990234375,2724
2026-06-26,4078.699951171875,4078.699951171875,4078.699951171875,4078.699951171875,1431
2026-06-29,4022.300048828125,4070.0,4003.199951171875,4057.5,785
2026-06-30,4022.89990234375,4049.699951171875,3962.5,4002.60009765625,1108
2026-07-01,4068.300048828125,4100.0,3963.0,4013.10009765625,770
2026-07-02,4112.7001953125,4140.10009765625,4062.0,4067.5,228
2026-07-06,4155.10009765625,4199.7001953125,4134.2001953125,4175.39990234375,1024
2026-07-07,4145.2998046875,4167.2001953125,4107.2001953125,4126.5,53
2026-07-08,4070.89990234375,4120.2998046875,4053.0,4116.2998046875,292
2026-07-09,4130.60009765625,4130.60009765625,4064.199951171875,4066.39990234375,13
2026-07-10,4104.10009765625,4125.7998046875,4090.60009765625,4122.2998046875,389
2026-07-13,3997.0,4081.0,3985.89990234375,4081.0,679
2026-07-14,4061.10009765625,4091.199951171875,3986.5,3995.699951171875,1281
2026-07-15,4044.0,4070.10009765625,4019.39990234375,4049.10009765625,374
2026-07-16,3985.60009765625,4030.5,3972.60009765625,4030.5,812
2026-07-17,4012.699951171875,4017.199951171875,3964.199951171875,3975.5,141
2026-07-20,4010.300048828125,4018.89990234375,4002.699951171875,4003.39990234375,231
2026-07-21,4071.10009765625,4071.10009765625,3999.699951171875,4002.10009765625,87
2026-07-22,4146.89990234375,4152.10009765625,4096.2001953125,4096.2001953125,133
2026-07-23,4046.60009765625,4130.89990234375,4046.60009765625,4129.89990234375,59
2026-07-24,4067.60009765625,4068.0,4067.60009765625,4067.60009765625,2
2026-07-27,4074.5,4107.89990234375,4072.699951171875,4090.10009765625,36
2026-07-28,4036.300048828125,4036.300048828125,4025.699951171875,4025.699951171875,248
2026-07-29,4034.699951171875,4034.699951171875,4017.89990234375,4018.10009765625,89664
2026-07-30,4100.10009765625,4118.5,4028.5,4060.699951171875,16985
2026-07-31,4049.10009765625,4102.39990234375,4022.39990234375,4102.39990234375,1166
2026-08-03,4033.699951171875,4083.5,4026.5,4083.39990234375,698
2026-08-04,4095.39990234375,4095.39990234375,4048.800048828125,4050.5,426
2026-08-05,4245.7998046875,4262.2001953125,4129.5,4130.0,1349
2026-08-06,4242.0,4297.0,4228.0,4297.0,3101
2026-08-07,4340.7001953125,4371.5,4274.0,4277.0,422
2026-08-10,4361.7998046875,4390.10009765625,4336.10009765625,4336.10009765625,1303
2026-08-11,4383.0,4408.60009765625,4365.10009765625,4408.60009765625,204
2026-08-12,4408.89990234375,4434.0,4406.2998046875,4406.5,660
2026-08-13,4363.60009765625,4445.0,4350.0,4403.5,1491
2026-08-14,4380.39990234375,4397.10009765625,4315.0,4322.10009765625,673
2026-08-17,4417.7998046875,4428.5,4386.5,4394.7998046875,716
2026-08-18,4366.0,4434.10009765625,4330.7001953125,4415.2001953125,1283
2026-08-19,4489.39990234375,4524.10009765625,4327.60009765625,4339.7998046875,1336
2026-08-20,4516.2998046875,4530.0,4486.0,4506.7998046875,478
2026-08-21,4624.10009765625,4624.10009765625,4560.0,4560.0,311
2026-08-24,4640.7998046875,4670.89990234375,4635.10009765625,4638.0,1202
2026-08-25,4638.10009765625,4638.10009765625,4626.2001953125,4630.5,321
2026-08-26,4598.2001953125,4615.2998046875,4598.2001953125,4615.2998046875,1051
2026-08-27,4609.7001953125,4609.7001953125,4609.7001953125,4609.7001953125,5558
2026-08-28,4478.10009765625,4625.5,4451.7998046875,4599.2998046875,1758
2026-08-31,4431.10009765625,4466.89990234375,4410.89990234375,4430.0,360
2026-09-01,4348.0,4402.0,4329.10009765625,4402.0,191
2026-09-02,4366.2998046875,4390.2001953125,4292.2001953125,4328.0,72
2026-09-03,4491.7001953125,4510.0,4426.0,4426.2998046875,16
2026-09-04,4429.7998046875,4429.7998046875,4429.7998046875,4429.7998046875,16
